year,level_1,value
1960,Crude Birth Rate,37.5
1961,Crude Birth Rate,35.2
1962,Crude Birth Rate,33.7
1963,Crude Birth Rate,33.2
1964,Crude Birth Rate,31.6
1965,Crude Birth Rate,29.5
1966,Crude Birth Rate,28.3
1967,Crude Birth Rate,25.6
1968,Crude Birth Rate,23.5
1969,Crude Birth Rate,21.8
1970,Crude Birth Rate,22.1
1971,Crude Birth Rate,22.3
1972,Crude Birth Rate,23.1
1973,Crude Birth Rate,22
1974,Crude Birth Rate,19.4
1975,Crude Birth Rate,17.7
1976,Crude Birth Rate,18.7
1977,Crude Birth Rate,16.5
1978,Crude Birth Rate,16.8
1979,Crude Birth Rate,17.1
1980,Crude Birth Rate,17.6
1981,Crude Birth Rate,17.6
1982,Crude Birth Rate,17.5
1983,Crude Birth Rate,16.3
1984,Crude Birth Rate,16.5
1985,Crude Birth Rate,16.6
1986,Crude Birth Rate,14.8
1987,Crude Birth Rate,16.6
1988,Crude Birth Rate,19.8
1989,Crude Birth Rate,17.5
1990,Crude Birth Rate,18.2
1991,Crude Birth Rate,17.1
1992,Crude Birth Rate,16.8
1993,Crude Birth Rate,16.8
1994,Crude Birth Rate,16.2
1995,Crude Birth Rate,15.6
1996,Crude Birth Rate,15.2
1997,Crude Birth Rate,14.5
1998,Crude Birth Rate,13.1
1999,Crude Birth Rate,12.8
2000,Crude Birth Rate,13.7
2001,Crude Birth Rate,11.8
2002,Crude Birth Rate,11.4
2003,Crude Birth Rate,10.5
2004,Crude Birth Rate,10.3
2005,Crude Birth Rate,10.2
2006,Crude Birth Rate,10.3
2007,Crude Birth Rate,10.3
2008,Crude Birth Rate,10.2
2009,Crude Birth Rate,9.9
2010,Crude Birth Rate,9.3
2011,Crude Birth Rate,9.5
2012,Crude Birth Rate,10.1
2013,Crude Birth Rate,9.3
2014,Crude Birth Rate,9.8
2015,Crude Birth Rate,9.7
2016,Crude Birth Rate,9.4
2017,Crude Birth Rate,8.9
