year,level_1,level_2,value
1960,Gross Domestic Product At Current Market Prices,Goods Producing Industries,431.9
1960,Gross Domestic Product At Current Market Prices,Services Producing Industries,1538.7
1960,Gross Domestic Product At Current Market Prices,Ownership Of Dwellings,68.9
1960,Gross Domestic Product At Current Market Prices,Gross Value Added At Basic Prices,2039.5
1960,Gross Domestic Product At Current Market Prices,Add: Taxes On Products,117
1961,Gross Domestic Product At Current Market Prices,Goods Producing Industries,475.9
1961,Gross Domestic Product At Current Market Prices,Services Producing Industries,1671.4
1961,Gross Domestic Product At Current Market Prices,Ownership Of Dwellings,73.6
1961,Gross Domestic Product At Current Market Prices,Gross Value Added At Basic Prices,2220.9
1961,Gross Domestic Product At Current Market Prices,Add: Taxes On Products,118.8
1962,Gross Domestic Product At Current Market Prices,Goods Producing Industries,534.7
1962,Gross Domestic Product At Current Market Prices,Services Producing Industries,1792.1
1962,Gross Domestic Product At Current Market Prices,Ownership Of Dwellings,76.3
1962,Gross Domestic Product At Current Market Prices,Gross Value Added At Basic Prices,2403.1
1962,Gross Domestic Product At Current Market Prices,Add: Taxes On Products,125.1
1963,Gross Domestic Product At Current Market Prices,Goods Producing Industries,617.6
1963,Gross Domestic Product At Current Market Prices,Services Producing Industries,1984.1
1963,Gross Domestic Product At Current Market Prices,Ownership Of Dwellings,78.8
1963,Gross Domestic Product At Current Market Prices,Gross Value Added At Basic Prices,2680.5
1963,Gross Domestic Product At Current Market Prices,Add: Taxes On Products,127.3
1964,Gross Domestic Product At Current Market Prices,Goods Producing Industries,671.6
1964,Gross Domestic Product At Current Market Prices,Services Producing Industries,1848.9
1964,Gross Domestic Product At Current Market Prices,Ownership Of Dwellings,80.9
1964,Gross Domestic Product At Current Market Prices,Gross Value Added At Basic Prices,2601.4
1964,Gross Domestic Product At Current Market Prices,Add: Taxes On Products,134.5
1965,Gross Domestic Product At Current Market Prices,Goods Producing Industries,751.1
1965,Gross Domestic Product At Current Market Prices,Services Producing Industries,1980.7
1965,Gross Domestic Product At Current Market Prices,Ownership Of Dwellings,84.1
1965,Gross Domestic Product At Current Market Prices,Gross Value Added At Basic Prices,2815.9
1965,Gross Domestic Product At Current Market Prices,Add: Taxes On Products,166.3
1966,Gross Domestic Product At Current Market Prices,Goods Producing Industries,854.5
1966,Gross Domestic Product At Current Market Prices,Services Producing Industries,2220.5
1966,Gross Domestic Product At Current Market Prices,Ownership Of Dwellings,90.8
1966,Gross Domestic Product At Current Market Prices,Gross Value Added At Basic Prices,3165.8
1966,Gross Domestic Product At Current Market Prices,Add: Taxes On Products,189
1967,Gross Domestic Product At Current Market Prices,Goods Producing Industries,983.5
1967,Gross Domestic Product At Current Market Prices,Services Producing Industries,2517.2
1967,Gross Domestic Product At Current Market Prices,Ownership Of Dwellings,96.4
1967,Gross Domestic Product At Current Market Prices,Gross Value Added At Basic Prices,3597.1
1967,Gross Domestic Product At Current Market Prices,Add: Taxes On Products,190.9
1968,Gross Domestic Product At Current Market Prices,Goods Producing Industries,1172.5
1968,Gross Domestic Product At Current Market Prices,Services Producing Industries,2865.7
1968,Gross Domestic Product At Current Market Prices,Ownership Of Dwellings,106.1
1968,Gross Domestic Product At Current Market Prices,Gross Value Added At Basic Prices,4144.3
1968,Gross Domestic Product At Current Market Prices,Add: Taxes On Products,218
1969,Gross Domestic Product At Current Market Prices,Goods Producing Industries,1393.8
1969,Gross Domestic Product At Current Market Prices,Services Producing Industries,3296.5
1969,Gross Domestic Product At Current Market Prices,Ownership Of Dwellings,123.3
1969,Gross Domestic Product At Current Market Prices,Gross Value Added At Basic Prices,4813.6
1969,Gross Domestic Product At Current Market Prices,Add: Taxes On Products,265.1
1970,Gross Domestic Product At Current Market Prices,Goods Producing Industries,1730.9
1970,Gross Domestic Product At Current Market Prices,Services Producing Industries,3666.4
1970,Gross Domestic Product At Current Market Prices,Ownership Of Dwellings,156.6
1970,Gross Domestic Product At Current Market Prices,Gross Value Added At Basic Prices,5553.9
1970,Gross Domestic Product At Current Market Prices,Add: Taxes On Products,322.1
1971,Gross Domestic Product At Current Market Prices,Goods Producing Industries,2149.2
1971,Gross Domestic Product At Current Market Prices,Services Producing Industries,4242.9
1971,Gross Domestic Product At Current Market Prices,Ownership Of Dwellings,199.7
1971,Gross Domestic Product At Current Market Prices,Gross Value Added At Basic Prices,6591.8
1971,Gross Domestic Product At Current Market Prices,Add: Taxes On Products,334.3
1972,Gross Domestic Product At Current Market Prices,Goods Producing Industries,2745.8
1972,Gross Domestic Product At Current Market Prices,Services Producing Industries,4909.7
1972,Gross Domestic Product At Current Market Prices,Ownership Of Dwellings,250.6
1972,Gross Domestic Product At Current Market Prices,Gross Value Added At Basic Prices,7906.1
1972,Gross Domestic Product At Current Market Prices,Add: Taxes On Products,391.5
1973,Gross Domestic Product At Current Market Prices,Goods Producing Industries,3408.2
1973,Gross Domestic Product At Current Market Prices,Services Producing Industries,6220.5
1973,Gross Domestic Product At Current Market Prices,Ownership Of Dwellings,291
1973,Gross Domestic Product At Current Market Prices,Gross Value Added At Basic Prices,9919.7
1973,Gross Domestic Product At Current Market Prices,Add: Taxes On Products,469
1974,Gross Domestic Product At Current Market Prices,Goods Producing Industries,4252.5
1974,Gross Domestic Product At Current Market Prices,Services Producing Industries,7774.9
1974,Gross Domestic Product At Current Market Prices,Ownership Of Dwellings,324.3
1974,Gross Domestic Product At Current Market Prices,Gross Value Added At Basic Prices,12351.7
1974,Gross Domestic Product At Current Market Prices,Add: Taxes On Products,468
1975,Gross Domestic Product At Current Market Prices,Goods Producing Industries,4579.9
1975,Gross Domestic Product At Current Market Prices,Services Producing Industries,8322.9
1975,Gross Domestic Product At Current Market Prices,Ownership Of Dwellings,337.4
1975,Gross Domestic Product At Current Market Prices,Gross Value Added At Basic Prices,13240.2
1975,Gross Domestic Product At Current Market Prices,Add: Taxes On Products,487.8
1976,Gross Domestic Product At Current Market Prices,Goods Producing Industries,5103.6
1976,Gross Domestic Product At Current Market Prices,Services Producing Industries,9000.1
1976,Gross Domestic Product At Current Market Prices,Ownership Of Dwellings,362.1
1976,Gross Domestic Product At Current Market Prices,Gross Value Added At Basic Prices,14465.8
1976,Gross Domestic Product At Current Market Prices,Add: Taxes On Products,536.1
1977,Gross Domestic Product At Current Market Prices,Goods Producing Industries,5517.2
1977,Gross Domestic Product At Current Market Prices,Services Producing Industries,9835
1977,Gross Domestic Product At Current Market Prices,Ownership Of Dwellings,391.9
1977,Gross Domestic Product At Current Market Prices,Gross Value Added At Basic Prices,15744.1
1977,Gross Domestic Product At Current Market Prices,Add: Taxes On Products,606.5
