year,level_1,value
1960,Total Live-births,61775
1960,Resident Live-births,na
1961,Total Live-births,59930
1961,Resident Live-births,na
1962,Total Live-births,58977
1962,Resident Live-births,na
1963,Total Live-births,59530
1963,Resident Live-births,na
1964,Total Live-births,58217
1964,Resident Live-births,na
1965,Total Live-births,55725
1965,Resident Live-births,na
1966,Total Live-births,54680
1966,Resident Live-births,na
1967,Total Live-births,50560
1967,Resident Live-births,na
1968,Total Live-births,47241
1968,Resident Live-births,na
1969,Total Live-births,44562
1969,Resident Live-births,na
1970,Total Live-births,45934
1970,Resident Live-births,na
1971,Total Live-births,47088
1971,Resident Live-births,na
1972,Total Live-births,49678
1972,Resident Live-births,na
1973,Total Live-births,48269
1973,Resident Live-births,na
1974,Total Live-births,43268
1974,Resident Live-births,na
1975,Total Live-births,39948
1975,Resident Live-births,na
1976,Total Live-births,42783
1976,Resident Live-births,na
1977,Total Live-births,38364
1977,Resident Live-births,na
1978,Total Live-births,39441
1978,Resident Live-births,na
1979,Total Live-births,40779
1979,Resident Live-births,na
1980,Total Live-births,41217
1980,Resident Live-births,40100
1981,Total Live-births,42250
1981,Resident Live-births,41000
1982,Total Live-births,42654
1982,Resident Live-births,41300
1983,Total Live-births,40585
1983,Resident Live-births,39300
1984,Total Live-births,41556
1984,Resident Live-births,40200
1985,Total Live-births,42484
1985,Resident Live-births,41100
1986,Total Live-births,38379
1986,Resident Live-births,37159
1987,Total Live-births,43616
1987,Resident Live-births,42362
1988,Total Live-births,52957
1988,Resident Live-births,51537
1989,Total Live-births,47669
1989,Resident Live-births,46361
1990,Total Live-births,51142
1990,Resident Live-births,49787
1991,Total Live-births,49114
1991,Resident Live-births,47805
1992,Total Live-births,49402
1992,Resident Live-births,47907
1993,Total Live-births,50225
1993,Resident Live-births,48739
1994,Total Live-births,49554
1994,Resident Live-births,48075
1995,Total Live-births,48635
1995,Resident Live-births,46916
1996,Total Live-births,48577
1996,Resident Live-births,46707
1997,Total Live-births,47333
1997,Resident Live-births,45356
1998,Total Live-births,43664
1998,Resident Live-births,41636
1999,Total Live-births,43336
1999,Resident Live-births,41327
2000,Total Live-births,46997
2000,Resident Live-births,44765
2001,Total Live-births,41451
2001,Resident Live-births,39281
2002,Total Live-births,40760
2002,Resident Live-births,38555
2003,Total Live-births,37485
2003,Resident Live-births,35474
2004,Total Live-births,37174
2004,Resident Live-births,35135
2005,Total Live-births,37492
2005,Resident Live-births,35528
2006,Total Live-births,38317
2006,Resident Live-births,36272
2007,Total Live-births,39490
2007,Resident Live-births,37074
2008,Total Live-births,39826
2008,Resident Live-births,37277
2009,Total Live-births,39570
2009,Resident Live-births,36925
2010,Total Live-births,37967
2010,Resident Live-births,35129
2011,Total Live-births,39654
2011,Resident Live-births,36178
2012,Total Live-births,42663
2012,Resident Live-births,38641
2013,Total Live-births,39720
2013,Resident Live-births,35681
2014,Total Live-births,42232
2014,Resident Live-births,37967
2015,Total Live-births,42185
2015,Resident Live-births,37861
2016,Total Live-births,41251
2016,Resident Live-births,36875
2017,Total Live-births,39615
2017,Resident Live-births,35444
