year,level_1,value
1960,Total Fertility Rate,5.76
1960,Gross Reproduction Rate,2.78
1960,Net Reproduction Rate,2.54
1961,Total Fertility Rate,5.41
1961,Gross Reproduction Rate,2.63
1961,Net Reproduction Rate,2.41
1962,Total Fertility Rate,5.21
1962,Gross Reproduction Rate,2.53
1962,Net Reproduction Rate,2.31
1963,Total Fertility Rate,5.16
1963,Gross Reproduction Rate,2.51
1963,Net Reproduction Rate,2.3
1964,Total Fertility Rate,4.97
1964,Gross Reproduction Rate,2.42
1964,Net Reproduction Rate,2.22
1965,Total Fertility Rate,4.66
1965,Gross Reproduction Rate,2.27
1965,Net Reproduction Rate,2.08
1966,Total Fertility Rate,4.46
1966,Gross Reproduction Rate,2.17
1966,Net Reproduction Rate,1.97
1967,Total Fertility Rate,3.91
1967,Gross Reproduction Rate,1.91
1967,Net Reproduction Rate,1.75
1968,Total Fertility Rate,3.53
1968,Gross Reproduction Rate,1.72
1968,Net Reproduction Rate,1.58
1969,Total Fertility Rate,3.22
1969,Gross Reproduction Rate,1.56
1969,Net Reproduction Rate,1.43
1970,Total Fertility Rate,3.07
1970,Gross Reproduction Rate,1.49
1970,Net Reproduction Rate,1.42
1971,Total Fertility Rate,3.02
1971,Gross Reproduction Rate,1.46
1971,Net Reproduction Rate,1.41
1972,Total Fertility Rate,3.04
1972,Gross Reproduction Rate,1.47
1972,Net Reproduction Rate,1.42
1973,Total Fertility Rate,2.79
1973,Gross Reproduction Rate,1.35
1973,Net Reproduction Rate,1.3
1974,Total Fertility Rate,2.35
1974,Gross Reproduction Rate,1.13
1974,Net Reproduction Rate,1.09
1975,Total Fertility Rate,2.07
1975,Gross Reproduction Rate,1
1975,Net Reproduction Rate,0.97
1976,Total Fertility Rate,2.11
1976,Gross Reproduction Rate,1.02
1976,Net Reproduction Rate,0.98
1977,Total Fertility Rate,1.82
1977,Gross Reproduction Rate,0.88
1977,Net Reproduction Rate,0.85
1978,Total Fertility Rate,1.79
1978,Gross Reproduction Rate,0.87
1978,Net Reproduction Rate,0.84
1979,Total Fertility Rate,1.79
1979,Gross Reproduction Rate,0.85
1979,Net Reproduction Rate,0.82
1980,Total Fertility Rate,1.82
1980,Gross Reproduction Rate,0.88
1980,Net Reproduction Rate,0.86
1981,Total Fertility Rate,1.78
1981,Gross Reproduction Rate,0.86
1981,Net Reproduction Rate,0.84
1982,Total Fertility Rate,1.74
1982,Gross Reproduction Rate,0.83
1982,Net Reproduction Rate,0.82
1983,Total Fertility Rate,1.61
1983,Gross Reproduction Rate,0.77
1983,Net Reproduction Rate,0.76
1984,Total Fertility Rate,1.62
1984,Gross Reproduction Rate,0.77
1984,Net Reproduction Rate,0.76
1985,Total Fertility Rate,1.61
1985,Gross Reproduction Rate,0.78
1985,Net Reproduction Rate,0.76
1986,Total Fertility Rate,1.43
1986,Gross Reproduction Rate,0.69
1986,Net Reproduction Rate,0.68
1987,Total Fertility Rate,1.62
1987,Gross Reproduction Rate,0.78
1987,Net Reproduction Rate,0.77
1988,Total Fertility Rate,1.96
1988,Gross Reproduction Rate,0.95
1988,Net Reproduction Rate,0.93
1989,Total Fertility Rate,1.75
1989,Gross Reproduction Rate,0.85
1989,Net Reproduction Rate,0.83
1990,Total Fertility Rate,1.83
1990,Gross Reproduction Rate,0.88
1990,Net Reproduction Rate,0.87
1991,Total Fertility Rate,1.73
1991,Gross Reproduction Rate,0.84
1991,Net Reproduction Rate,0.83
1992,Total Fertility Rate,1.72
1992,Gross Reproduction Rate,0.83
1992,Net Reproduction Rate,0.82
1993,Total Fertility Rate,1.74
1993,Gross Reproduction Rate,0.84
1993,Net Reproduction Rate,0.83
1994,Total Fertility Rate,1.71
1994,Gross Reproduction Rate,0.83
1994,Net Reproduction Rate,0.82
1995,Total Fertility Rate,1.67
1995,Gross Reproduction Rate,0.8
1995,Net Reproduction Rate,0.8
1996,Total Fertility Rate,1.66
1996,Gross Reproduction Rate,0.8
1996,Net Reproduction Rate,0.79
1997,Total Fertility Rate,1.61
1997,Gross Reproduction Rate,0.77
1997,Net Reproduction Rate,0.77
1998,Total Fertility Rate,1.48
1998,Gross Reproduction Rate,0.72
1998,Net Reproduction Rate,0.71
1999,Total Fertility Rate,1.47
1999,Gross Reproduction Rate,0.7
1999,Net Reproduction Rate,0.7
2000,Total Fertility Rate,1.6
2000,Gross Reproduction Rate,0.77
2000,Net Reproduction Rate,0.76
2001,Total Fertility Rate,1.41
2001,Gross Reproduction Rate,0.68
2001,Net Reproduction Rate,0.67
2002,Total Fertility Rate,1.37
2002,Gross Reproduction Rate,0.67
2002,Net Reproduction Rate,0.66
2003,Total Fertility Rate,1.27
2003,Gross Reproduction Rate,0.62
2003,Net Reproduction Rate,0.61
2004,Total Fertility Rate,1.26
2004,Gross Reproduction Rate,0.61
2004,Net Reproduction Rate,0.6
2005,Total Fertility Rate,1.26
2005,Gross Reproduction Rate,0.61
2005,Net Reproduction Rate,0.61
2006,Total Fertility Rate,1.28
2006,Gross Reproduction Rate,0.62
2006,Net Reproduction Rate,0.61
2007,Total Fertility Rate,1.29
2007,Gross Reproduction Rate,0.62
2007,Net Reproduction Rate,0.62
2008,Total Fertility Rate,1.28
2008,Gross Reproduction Rate,0.62
2008,Net Reproduction Rate,0.62
2009,Total Fertility Rate,1.22
2009,Gross Reproduction Rate,0.59
2009,Net Reproduction Rate,0.59
2010,Total Fertility Rate,1.15
2010,Gross Reproduction Rate,0.56
2010,Net Reproduction Rate,0.55
2011,Total Fertility Rate,1.2
2011,Gross Reproduction Rate,0.58
2011,Net Reproduction Rate,0.58
2012,Total Fertility Rate,1.29
2012,Gross Reproduction Rate,0.62
2012,Net Reproduction Rate,0.62
2013,Total Fertility Rate,1.19
2013,Gross Reproduction Rate,0.57
2013,Net Reproduction Rate,0.57
2014,Total Fertility Rate,1.25
2014,Gross Reproduction Rate,0.61
2014,Net Reproduction Rate,0.6
2015,Total Fertility Rate,1.24
2015,Gross Reproduction Rate,0.6
2015,Net Reproduction Rate,0.6
2016,Total Fertility Rate,1.2
2016,Gross Reproduction Rate,0.58
2016,Net Reproduction Rate,0.58
2017,Total Fertility Rate,1.16
2017,Gross Reproduction Rate,0.56
2017,Net Reproduction Rate,0.56
