year,level_1,level_2,value
1960,Total Fertility Rate,Chinese,5.62
1960,Total Fertility Rate,Malays,6.42
1960,Total Fertility Rate,Indians,7.37
1961,Total Fertility Rate,Chinese,5.2
1961,Total Fertility Rate,Malays,6.42
1961,Total Fertility Rate,Indians,6.96
1962,Total Fertility Rate,Chinese,4.92
1962,Total Fertility Rate,Malays,6.63
1962,Total Fertility Rate,Indians,6.96
1963,Total Fertility Rate,Chinese,4.83
1963,Total Fertility Rate,Malays,6.75
1963,Total Fertility Rate,Indians,6.9
1964,Total Fertility Rate,Chinese,4.6
1964,Total Fertility Rate,Malays,6.78
1964,Total Fertility Rate,Indians,7.06
1965,Total Fertility Rate,Chinese,4.31
1965,Total Fertility Rate,Malays,6.31
1965,Total Fertility Rate,Indians,6.69
1966,Total Fertility Rate,Chinese,4.08
1966,Total Fertility Rate,Malays,6.14
1966,Total Fertility Rate,Indians,6.61
1967,Total Fertility Rate,Chinese,3.59
1967,Total Fertility Rate,Malays,5.29
1967,Total Fertility Rate,Indians,5.62
1968,Total Fertility Rate,Chinese,3.29
1968,Total Fertility Rate,Malays,4.52
1968,Total Fertility Rate,Indians,4.77
1969,Total Fertility Rate,Chinese,3.05
1969,Total Fertility Rate,Malays,3.78
1969,Total Fertility Rate,Indians,4.58
1970,Total Fertility Rate,Chinese,3
1970,Total Fertility Rate,Malays,3.45
1970,Total Fertility Rate,Indians,3.15
1971,Total Fertility Rate,Chinese,2.98
1971,Total Fertility Rate,Malays,3.25
1971,Total Fertility Rate,Indians,3.14
1972,Total Fertility Rate,Chinese,3
1972,Total Fertility Rate,Malays,3.26
1972,Total Fertility Rate,Indians,3.08
1973,Total Fertility Rate,Chinese,2.79
1973,Total Fertility Rate,Malays,2.88
1973,Total Fertility Rate,Indians,2.61
1974,Total Fertility Rate,Chinese,2.33
1974,Total Fertility Rate,Malays,2.46
1974,Total Fertility Rate,Indians,2.3
1975,Total Fertility Rate,Chinese,2.06
1975,Total Fertility Rate,Malays,2.12
1975,Total Fertility Rate,Indians,1.95
1976,Total Fertility Rate,Chinese,2.15
1976,Total Fertility Rate,Malays,1.93
1976,Total Fertility Rate,Indians,1.84
1977,Total Fertility Rate,Chinese,1.81
1977,Total Fertility Rate,Malays,1.87
1977,Total Fertility Rate,Indians,1.7
1978,Total Fertility Rate,Chinese,1.78
1978,Total Fertility Rate,Malays,1.83
1978,Total Fertility Rate,Indians,1.79
1979,Total Fertility Rate,Chinese,1.77
1979,Total Fertility Rate,Malays,1.84
1979,Total Fertility Rate,Indians,1.88
1980,Total Fertility Rate,Chinese,1.73
1980,Total Fertility Rate,Malays,2.2
1980,Total Fertility Rate,Indians,2.03
1981,Total Fertility Rate,Chinese,1.67
1981,Total Fertility Rate,Malays,2.25
1981,Total Fertility Rate,Indians,1.97
1982,Total Fertility Rate,Chinese,1.62
1982,Total Fertility Rate,Malays,2.27
1982,Total Fertility Rate,Indians,1.93
1983,Total Fertility Rate,Chinese,1.47
1983,Total Fertility Rate,Malays,2.21
1983,Total Fertility Rate,Indians,1.83
1984,Total Fertility Rate,Chinese,1.46
1984,Total Fertility Rate,Malays,2.27
1984,Total Fertility Rate,Indians,1.84
1985,Total Fertility Rate,Chinese,1.46
1985,Total Fertility Rate,Malays,2.28
1985,Total Fertility Rate,Indians,1.79
1986,Total Fertility Rate,Chinese,1.25
1986,Total Fertility Rate,Malays,2.22
1986,Total Fertility Rate,Indians,1.73
1987,Total Fertility Rate,Chinese,1.46
1987,Total Fertility Rate,Malays,2.34
1987,Total Fertility Rate,Indians,1.76
1988,Total Fertility Rate,Chinese,1.84
1988,Total Fertility Rate,Malays,2.51
1988,Total Fertility Rate,Indians,1.89
1989,Total Fertility Rate,Chinese,1.56
1989,Total Fertility Rate,Malays,2.62
1989,Total Fertility Rate,Indians,1.92
1990,Total Fertility Rate,Chinese,1.65
1990,Total Fertility Rate,Malays,2.69
1990,Total Fertility Rate,Indians,1.89
1991,Total Fertility Rate,Chinese,1.54
1991,Total Fertility Rate,Malays,2.63
1991,Total Fertility Rate,Indians,1.84
1992,Total Fertility Rate,Chinese,1.53
1992,Total Fertility Rate,Malays,2.61
1992,Total Fertility Rate,Indians,1.9
1993,Total Fertility Rate,Chinese,1.55
1993,Total Fertility Rate,Malays,2.62
1993,Total Fertility Rate,Indians,1.94
1994,Total Fertility Rate,Chinese,1.54
1994,Total Fertility Rate,Malays,2.54
1994,Total Fertility Rate,Indians,1.81
1995,Total Fertility Rate,Chinese,1.51
1995,Total Fertility Rate,Malays,2.51
1995,Total Fertility Rate,Indians,1.71
1996,Total Fertility Rate,Chinese,1.5
1996,Total Fertility Rate,Malays,2.52
1996,Total Fertility Rate,Indians,1.74
1997,Total Fertility Rate,Chinese,1.44
1997,Total Fertility Rate,Malays,2.47
1997,Total Fertility Rate,Indians,1.71
1998,Total Fertility Rate,Chinese,1.27
1998,Total Fertility Rate,Malays,2.48
1998,Total Fertility Rate,Indians,1.68
1999,Total Fertility Rate,Chinese,1.29
1999,Total Fertility Rate,Malays,2.41
1999,Total Fertility Rate,Indians,1.55
2000,Total Fertility Rate,Chinese,1.43
2000,Total Fertility Rate,Malays,2.54
2000,Total Fertility Rate,Indians,1.59
2001,Total Fertility Rate,Chinese,1.21
2001,Total Fertility Rate,Malays,2.45
2001,Total Fertility Rate,Indians,1.51
2002,Total Fertility Rate,Chinese,1.19
2002,Total Fertility Rate,Malays,2.3
2002,Total Fertility Rate,Indians,1.51
2003,Total Fertility Rate,Chinese,1.09
2003,Total Fertility Rate,Malays,2.1
2003,Total Fertility Rate,Indians,1.39
2004,Total Fertility Rate,Chinese,1.09
2004,Total Fertility Rate,Malays,2.07
2004,Total Fertility Rate,Indians,1.34
2005,Total Fertility Rate,Chinese,1.1
2005,Total Fertility Rate,Malays,2.03
2005,Total Fertility Rate,Indians,1.29
2006,Total Fertility Rate,Chinese,1.11
2006,Total Fertility Rate,Malays,2.02
2006,Total Fertility Rate,Indians,1.27
2007,Total Fertility Rate,Chinese,1.14
2007,Total Fertility Rate,Malays,1.94
2007,Total Fertility Rate,Indians,1.25
2008,Total Fertility Rate,Chinese,1.14
2008,Total Fertility Rate,Malays,1.91
2008,Total Fertility Rate,Indians,1.19
2009,Total Fertility Rate,Chinese,1.08
2009,Total Fertility Rate,Malays,1.82
2009,Total Fertility Rate,Indians,1.14
2010,Total Fertility Rate,Chinese,1.02
2010,Total Fertility Rate,Malays,1.65
2010,Total Fertility Rate,Indians,1.13
2011,Total Fertility Rate,Chinese,1.08
2011,Total Fertility Rate,Malays,1.64
2011,Total Fertility Rate,Indians,1.09
2012,Total Fertility Rate,Chinese,1.18
2012,Total Fertility Rate,Malays,1.69
2012,Total Fertility Rate,Indians,1.15
2013,Total Fertility Rate,Chinese,1.05
2013,Total Fertility Rate,Malays,1.66
2013,Total Fertility Rate,Indians,1.11
2014,Total Fertility Rate,Chinese,1.13
2014,Total Fertility Rate,Malays,1.73
2014,Total Fertility Rate,Indians,1.13
2015,Total Fertility Rate,Chinese,1.1
2015,Total Fertility Rate,Malays,1.79
2015,Total Fertility Rate,Indians,1.15
2016,Total Fertility Rate,Chinese,1.07
2016,Total Fertility Rate,Malays,1.8
2016,Total Fertility Rate,Indians,1.04
2017,Total Fertility Rate,Chinese,1.01
2017,Total Fertility Rate,Malays,1.82
2017,Total Fertility Rate,Indians,1
